article_id,article_title,article_date,event,location_prediction,date_prediction_text,date_prediction_value
0,Swara Bhasker Takes A Dig At 'The Kashmir Files' Filmmaker Vivek Agnihotri; Gets Trolled!,2022-03-14T09:55:30+00:00,"Amidst the critical and box-office success of 'The Kashmir Files', Vivek Agnihotri has repeatedly expressed how Bollywood has snubbed Vivek Agnihotri.",[],,
2,‘The Kashmir Files’ box office: Film rakes in Rs 231.28 cr on Monday  ,2022-03-29T07:45:33+00:00,Vivek Agnihotri-directorial 'The Kashmir Files' is maintaining its stride at the box office amid the 'RRR' craze.,['Kashmir'],,
3,Fans Share Newspaper Reports To Prove Atrocities Shown In 'The Kashmir Files' Were Real!,2022-03-15T09:50:32+00:00,"Fans have posted old newspaper clippings, news features, and videos.",[],,
3,Fans Share Newspaper Reports To Prove Atrocities Shown In 'The Kashmir Files' Were Real!,2022-03-15T09:50:32+00:00,Fans also tried to draw a parallel between the reel and real-life characters.,[],,
4,"Mob Stops Screening Of 'Bachchhan Paandey', Demands Theatre To Only Screen 'The Kashmir Files'",2022-03-21T13:05:40+00:00,The mob was chanting 'Jai Shree Ram' slogans.,[],,
5,"Aamir Khan Praises 'The Kashmir Files', Sonam Kapoor Announces Pregnancy And More From Ent",2022-03-21T14:25:35+00:00,Here is all that rocked the world of entertainment news.,[],,
6,Rajasthan's Kota Imposes Section 144 Till April 21 In View Of 'The Kashmir Files' Screening,2022-03-22T12:25:29+00:00,The city of Kota in Rajasthan has now imposed section 144 to 'maintain law and order in The city of Kota in Rajasthan during The Kashmir Files screening'.,"['Rajasthan', 'Rajasthan', 'Kashmir']",now,PRESENT_REF
7,‘The Kashmir Files’ box office: Vivek Agnihotri-directorial paces towards Rs 250 cr ,2022-03-30T07:45:37+00:00,"The Vivek Agnihotri-directorial raked in a total of Rs 234.03 crore as on Tuesday, as per film critic and trade analyst Taran Adarsh.",[],Tuesday,XXXX-WXX-2
8,&#039;The Kashmir Files&#039;: Bombay HC dismisses plea against Vivek Agnihotri’s film,2022-03-09T05:45:34+00:00,"At the start of the hearing, the judges asked the petitioner’s lawyer whether the petitioner’s lawyer bothered to read the court’s judgement against the PILs filed against the Alia Bhatt-starrer Gangubai Kathiawadi",[],,
9,"Kashmir Files Screening Halted, Deepika Padukone's Caption Enrages Twitter And More From Ent",2022-03-12T13:10:29+00:00,The screening of Anupam Kher's The Kashmir Files was halted as a lot of chaos was witnessed at a theatre in Jammu.,"['Kashmir', 'Files']",,
9,"Kashmir Files Screening Halted, Deepika Padukone's Caption Enrages Twitter And More From Ent",2022-03-12T13:10:29+00:00,"On the other hand, Deepika Padukone's Instagram caption enraged Twitter.",[],,
10,"Chhattisgarh CM Bhupesh Baghel Watches 'The Kashmir Files', Says It Shows One Side Of The Story",2022-03-17T12:45:32+00:00,Chhattisgarh Chief Minister Bhupesh Baghel watched The Kashmir Files and criticised The Kashmir Files for showing 'half-truths'.,"['Chhattisgarh', 'Kashmir', 'Kashmir']",,
10,"Chhattisgarh CM Bhupesh Baghel Watches 'The Kashmir Files', Says It Shows One Side Of The Story",2022-03-17T12:45:32+00:00,The film released on March 11.,[],March 11,XXXX-03-11
11,Police Complaint Registered Against Vivek Agnihotri For His 'Bhopali Means Homosexual' Comment,2022-03-27T07:55:29+00:00,The Kashmir Files filmmakers is being slammed on social media.,['Kashmir'],,
12,"The Kashmir Files Cleared For Release In UAE With Zero Cuts, Vivek Agnihotri Says 'Big Victory'",2022-03-31T09:45:30+00:00,The Kashmir Files will hit the silver screens in the UAE on April 7.,"['Kashmir', 'Files']",April 7,XXXX-04-07
12,"The Kashmir Files Cleared For Release In UAE With Zero Cuts, Vivek Agnihotri Says 'Big Victory'",2022-03-31T09:45:30+00:00,Director Vivek Agnihotri called hit a 'big victory'.,[],,
13,"'Stop Mocking Kashmiri Pandits', Assam CM Slams Arvind Kejriwal For His Dig At The Kashmir Files",2022-03-27T10:15:31+00:00,Kejriwal's comments have rubbed many the wrong way.,[],,
14,"'The Name Pushkar Nath In Kashmir Files Is A Tribute To My Dad', Anupam Kher Shares His Acting Journey",2022-03-25T10:55:33+00:00,"Anupam Kher began the note by writing how there was once a Kashmiri Pandit boy called Bittu, son of a clerk, who went on to became an actor 'called Anupam Kher'.",[],once,PAST_REF
15,"Anupam Kher's Niece On Kashmir Files' Climax, Ranveer Mourns MC Tod Fod's Death & More From Ent",2022-03-22T13:55:31+00:00,"Anupam Kher's niece, Vrinda, opened up about how difficult it was to shoot the gruesome climax of The Kashmir Files.",['Kashmir'],,
15,"Anupam Kher's Niece On Kashmir Files' Climax, Ranveer Mourns MC Tod Fod's Death & More From Ent",2022-03-22T13:55:31+00:00,"On the other hand, Ranveer Singh condoled MC Tod Fod's sudden death.",[],,
18,'Bullydawood Is In Shock': Kangana Ranaut Questions Bollywood's Silence On 'The Kashmir Files',2022-03-13T11:15:31+00:00,"Condemning the Hindi film industry's silence on the film, Kangana wrote it's shocking that no Bollywood A-lister is talking about the film, despite the film's rave reviews from the audience and the critics.",[],,
19,"Yami Gautam, Aditya Dhar Extend Support To 'The Kashmir Files', Call It An 'Important Film'",2022-03-14T12:40:37+00:00,'The Kashmir Files' is a movie that is close to home for Actor Yami Gautam and Actor Yami Gautam's husband and Director Aditya Dhar.,['Kashmir'],,
20,‘The Kashmir Files’ box office Day 10: Film set to reach Rs 200 cr this week,2022-03-21T07:30:34+00:00,The film’s total collections have crossed Rs 167 crore to settle at Rs 167.45 crore.,[],,
21,"The Kashmir Files Director Vivek Agnihotri To Build A 'Genocide Museum', Madhya Pradesh CM Gives Nod",2022-03-26T09:00:34+00:00,Vivek Agnihotri took to Twitter recently and announced that they will be building a 'genocide museum that will showcase Indian values of Humanity and Vishwa kalyan'.,[],recently,PAST_REF
22,"Anupam Kher's Mother Shares Her Two Cents On The Kashmir Files, Recalls How Her Brother Died",2022-03-20T12:35:29+00:00,"'He died heartbrokenly,' she said.",[],,
23,"The Kashmir Files वाले विवेक अग्निहोत्री को मिली Y कैटिगरी सुरक्षा, मिल रही थीं जान से मारने की धमकी",2022-03-18T08:28:56+00:00,'द कश्मीर फाइल्स' (The Kashmir Files) के डायरेक्टर विवेक अग्निहोत्री (Vivek Agnihotri) को भारत सरकार के गृह मंत्रालय ने वाई कैटिगरी की सुरक्षा (Y Category Security...,"['Kashmir', 'Files']",,
24,"'With Those Kind Of Numbers, It Can't Be A Bad Film,' Says Taapsee Pannu On The Kashmir Files",2022-03-26T09:30:31+00:00,"Taapsee Pannu, while talking about The Kashmir Files, said that the film can't be a bad one if the film can collect such numbers.",['Kashmir'],,
25,Madhya Pradesh cops to get leave to watch &#039;The Kashmir Files&#039;,2022-03-14T07:15:37+00:00,"Written and directed by Vivek Agnihotri and produced by Zee Studios, the film depicts the exodus of Kashmiri Hindus from Kashmir following systematic killings of people from the community by Pakistan-backed terrorists.",['Kashmir'],,
26,‘The Kashmir Files’ box office: Vivek Agnihotri-film collects Rs 236.28 cr on Wednesday ,2022-03-31T08:30:36+00:00,"The film made Rs 2.25 crore on Wednesday, Rs 2.75 crore on Tuesday, Rs 3.10 crore on Monday, Rs 8.75 crore on Sunday, Rs 7.60 crore on Saturday and Rs 4.50 crore on Friday.",[],Friday,XXXX-WXX-5
27,"'Bollywood Ke Paap Dho Diye', Kangana Ranaut's Response After Watching 'The Kashmir Files'",2022-03-15T09:50:32+00:00,"In a video shared by photographer Viral Bhayani, Kangana can be seen heaping praises on the film and saying this the film is what Bollywood should be promoting.",['Kangana'],,
